CashRegisterName,DeletedWithWriteoff,DishAmountInt,DishDiscountSumInt,DishId,DishName,DishReturnSum,DishSize.ShortName,DishSumInt,GroupOrderId,GuestNum,OpenTime,OrderDeleted,OrderNum,OrderType,PayTypes,ProductCostBase.ProductCost,SourceOrderId,Storned,UniqOrderId.Id,WaiterName
ООО ПОДМЕНА,NOT_DELETED,1,200,c8455518-52f4-edf7-018f-3e5988312464,Теплый молочный коктейль,,,200,f9d9bccb-a351-41fd-b7f9-c51f12a89a03,1,2025-09-01T11:00:15,NOT_DELETED,5,,ООО Сбер,43.83,,FALSE,f9d9bccb-a351-41fd-b7f9-c51f12a89a03,Скогорева Екатерина
ИП Подмена,DELETED_WITHOUT_WRITEOFF,1,,c8455518-52f4-edf7-018f-3e59883123cb,"Пицца ""Пепперони""",,,630,94293d1e-5cb9-4fbd-b781-ba9fe490d521,1,2025-09-01T11:11:02,NOT_DELETED,10,,ИП Сбер,121.46625,,FALSE,94293d1e-5cb9-4fbd-b781-ba9fe490d521,Скогорева Екатерина
ИП Подмена,NOT_DELETED,1,630,c8455518-52f4-edf7-018f-3e59883123cb,"Пицца ""Пепперони""",,,630,94293d1e-5cb9-4fbd-b781-ba9fe490d521,1,2025-09-01T11:11:02,NOT_DELETED,10,,ИП Сбер,121.46625,,FALSE,94293d1e-5cb9-4fbd-b781-ba9fe490d521,Скогорева Екатерина
ИП Подмена,NOT_DELETED,1,30,b2ba8b91-9b99-4b0b-88f0-8ae5c1f28119,- сырный,,,30,468f46b3-1eec-4947-a708-b79d1f1261a6,0.5,2025-09-01T10:55:36,NOT_DELETED,11,,ИП Сбер,20.018461538461537,,FALSE,468f46b3-1eec-4947-a708-b79d1f1261a6,Скогорева Екатерина
ИП Подмена,NOT_DELETED,1,550,c8455518-52f4-edf7-018f-3e59883123f0,Чизбургер•,,,550,468f46b3-1eec-4947-a708-b79d1f1261a6,0.5,2025-09-01T10:55:36,NOT_DELETED,11,,ИП Сбер,156.52,,FALSE,468f46b3-1eec-4947-a708-b79d1f1261a6,Скогорева Екатерина
ИП Подмена,NOT_DELETED,1,290,c8455518-52f4-edf7-018f-3e59883123f8,Картошка фри,,,290,468f46b3-1eec-4947-a708-b79d1f1261a6,0.5,2025-09-01T10:55:36,NOT_DELETED,11,,ИП Сбер,45.57212121212121,,FALSE,468f46b3-1eec-4947-a708-b79d1f1261a6,Скогорева Екатерина
ИП Подмена,NOT_DELETED,1,260,c8455518-52f4-edf7-018f-3e5988312404,Суп Куриный,,,260,468f46b3-1eec-4947-a708-b79d1f1261a6,0.5,2025-09-01T10:55:36,NOT_DELETED,11,,ИП Сбер,35.905,,FALSE,468f46b3-1eec-4947-a708-b79d1f1261a6,Скогорева Екатерина
ООО ПОДМЕНА,NOT_DELETED,1,250,c8455518-52f4-edf7-018f-3e5988312467,Какао с маршмелоу,,,250,468f46b3-1eec-4947-a708-b79d1f1261a6,0.5,2025-09-01T10:55:36,NOT_DELETED,12,,ООО Сбер,54.093333333333334,,FALSE,d85a767e-e5ed-46af-835a-9290a54df327,Скогорева Екатерина
ООО ПОДМЕНА,NOT_DELETED,1,230,c8455518-52f4-edf7-018f-3e598831247c,"Коктейль ""Мохито"" б/а",,,230,fdbd727a-fedd-4e9b-a0a3-d459696c69f0,1,2025-09-01T11:36:18,NOT_DELETED,20,,ООО Сбер,68.732,,FALSE,fdbd727a-fedd-4e9b-a0a3-d459696c69f0,Бричкин Иван
ИП Подмена,DELETED_WITHOUT_WRITEOFF,1,,57fd209e-0d46-43ca-93c7-0d4e2921f16a,- 4 чашки,,,,68e80995-8f74-415d-aa5d-106223d7cfe3,,2025-09-01T11:53:45,DELETED,23,,(без оплаты),,,FALSE,68e80995-8f74-415d-aa5d-106223d7cfe3,Скогорева Екатерина
ИП Подмена,DELETED_WITHOUT_WRITEOFF,1,,8c30e9e1-0930-4e2f-919b-76aa6d56c1ab,- удон,,,,68e80995-8f74-415d-aa5d-106223d7cfe3,,2025-09-01T11:53:45,DELETED,23,,(без оплаты),17.991818181818182,,FALSE,68e80995-8f74-415d-aa5d-106223d7cfe3,Скогорева Екатерина
ИП Подмена,DELETED_WITHOUT_WRITEOFF,1,,b2ba8b91-9b99-4b0b-88f0-8ae5c1f28119,- сырный,,,30,68e80995-8f74-415d-aa5d-106223d7cfe3,,2025-09-01T11:53:45,DELETED,23,,(без оплаты),20.018461538461537,,FALSE,68e80995-8f74-415d-aa5d-106223d7cfe3,Скогорева Екатерина
ИП Подмена,DELETED_WITHOUT_WRITEOFF,1,,c8455518-52f4-edf7-018f-3e59883123d4,"Пицца ""Кисси Мисси""",,,670,68e80995-8f74-415d-aa5d-106223d7cfe3,,2025-09-01T11:53:45,DELETED,23,,(без оплаты),139.02,,FALSE,68e80995-8f74-415d-aa5d-106223d7cfe3,Скогорева Екатерина
ИП Подмена,DELETED_WITHOUT_WRITEOFF,2,,c8455518-52f4-edf7-018f-3e59883123f2,Паста Карбонара,,,900,68e80995-8f74-415d-aa5d-106223d7cfe3,,2025-09-01T11:53:45,DELETED,23,,(без оплаты),184.44470588235293,,FALSE,68e80995-8f74-415d-aa5d-106223d7cfe3,Скогорева Екатерина
ИП Подмена,DELETED_WITHOUT_WRITEOFF,1,,c8455518-52f4-edf7-018f-3e59883123f4,Вок со свининой в Чесночном соусе,,,440,68e80995-8f74-415d-aa5d-106223d7cfe3,,2025-09-01T11:53:45,DELETED,23,,(без оплаты),56.335,,FALSE,68e80995-8f74-415d-aa5d-106223d7cfe3,Скогорева Екатерина
ИП Подмена,DELETED_WITHOUT_WRITEOFF,1,,c8455518-52f4-edf7-018f-3e59883123f8,Картошка фри,,,290,68e80995-8f74-415d-aa5d-106223d7cfe3,,2025-09-01T11:53:45,DELETED,23,,(без оплаты),45.57212121212121,,FALSE,68e80995-8f74-415d-aa5d-106223d7cfe3,Скогорева Екатерина
ИП Подмена,DELETED_WITHOUT_WRITEOFF,1,,c8455518-52f4-edf7-018f-3e59883123ff,Габаджоу,,,590,68e80995-8f74-415d-aa5d-106223d7cfe3,,2025-09-01T11:53:45,DELETED,23,,(без оплаты),143.51625,,FALSE,68e80995-8f74-415d-aa5d-106223d7cfe3,Скогорева Екатерина
ИП Подмена,DELETED_WITHOUT_WRITEOFF,2,,c8455518-52f4-edf7-018f-3e5988312401,Шашлычки из свинины•,,,780,68e80995-8f74-415d-aa5d-106223d7cfe3,,2025-09-01T11:53:45,DELETED,23,,(без оплаты),194.255,,FALSE,68e80995-8f74-415d-aa5d-106223d7cfe3,Скогорева Екатерина
ИП Подмена,DELETED_WITHOUT_WRITEOFF,1,,c8455518-52f4-edf7-018f-3e5988312457,Чай Друзья манго,,,260,68e80995-8f74-415d-aa5d-106223d7cfe3,,2025-09-01T11:53:45,DELETED,23,,(без оплаты),,,FALSE,68e80995-8f74-415d-aa5d-106223d7cfe3,Скогорева Екатерина
ИП Подмена,DELETED_WITHOUT_WRITEOFF,1,,c8455518-52f4-edf7-018f-3e5988312476,Молочный коктейль,,,280,68e80995-8f74-415d-aa5d-106223d7cfe3,,2025-09-01T11:53:45,DELETED,23,,(без оплаты),,,FALSE,68e80995-8f74-415d-aa5d-106223d7cfe3,Скогорева Екатерина
ИП Подмена,NOT_DELETED,1,,bd416ba3-b841-4c62-9d87-39ca458ce164,- без соуса,,,,be5aa20f-2cb3-4863-9c83-bba42b7df8a0,1,2025-09-01T12:02:44,NOT_DELETED,26,,Наличные,,,FALSE,be5aa20f-2cb3-4863-9c83-bba42b7df8a0,Скогорева Екатерина
ИП Подмена,NOT_DELETED,1,560,c8455518-52f4-edf7-018f-3e59883123cc,"Пицца ""Гавайская""",,,560,be5aa20f-2cb3-4863-9c83-bba42b7df8a0,1,2025-09-01T12:02:44,NOT_DELETED,26,,Наличные,150.76833333333335,,FALSE,be5aa20f-2cb3-4863-9c83-bba42b7df8a0,Скогорева Екатерина
ИП Подмена,NOT_DELETED,1,660,c8455518-52f4-edf7-018f-3e59883123d3,"Пицца ""Карбонара""",,,660,be5aa20f-2cb3-4863-9c83-bba42b7df8a0,1,2025-09-01T12:02:44,NOT_DELETED,26,,Наличные,159.32,,FALSE,be5aa20f-2cb3-4863-9c83-bba42b7df8a0,Скогорева Екатерина
ИП Подмена,NOT_DELETED,1,290,c8455518-52f4-edf7-018f-3e59883123f8,Картошка фри,,,290,be5aa20f-2cb3-4863-9c83-bba42b7df8a0,1,2025-09-01T12:02:44,NOT_DELETED,26,,Наличные,45.57212121212121,,FALSE,be5aa20f-2cb3-4863-9c83-bba42b7df8a0,Скогорева Екатерина
ООО ПОДМЕНА,NOT_DELETED,1,320,c8455518-52f4-edf7-018f-3e598831247b,Малиновый лимонад,,,320,22e35865-b2b5-4719-82e5-4d48e745ef61,1,2025-09-01T12:04:20,NOT_DELETED,28,,ООО Сбер,,,FALSE,22e35865-b2b5-4719-82e5-4d48e745ef61,Бричкин Иван
ООО ПОДМЕНА,NOT_DELETED,1,230,c8455518-52f4-edf7-018f-3e598831247c,"Коктейль ""Мохито"" б/а",,,230,ebd0cc06-1589-43c1-a990-d6bb045715e7,1,2025-09-01T12:04:56,NOT_DELETED,29,,ООО Сбер,68.732,,FALSE,ebd0cc06-1589-43c1-a990-d6bb045715e7,Бричкин Иван
ИП Подмена,NOT_DELETED,1,60,c8455518-52f4-edf7-018f-3e598831241f,Кетчуп,,,60,e6b3ae06-a1e3-498f-a0b8-820c53b63971,1,2025-09-01T12:05:19,NOT_DELETED,30,,ИП Сбер,5.64,,FALSE,e6b3ae06-a1e3-498f-a0b8-820c53b63971,Бричкин Иван
ИП Подмена,NOT_DELETED,1,60,c8455518-52f4-edf7-018f-3e5988312420,Сырный соус,,,60,e6b3ae06-a1e3-498f-a0b8-820c53b63971,1,2025-09-01T12:05:19,NOT_DELETED,30,,ИП Сбер,13.345,,FALSE,e6b3ae06-a1e3-498f-a0b8-820c53b63971,Бричкин Иван
ООО ПОДМЕНА,NOT_DELETED,1,320,c8455518-52f4-edf7-018f-3e598831247b,Малиновый лимонад,,,320,689df579-806a-4127-a8d0-76a1d42ed71e,1,2025-09-01T12:06:05,NOT_DELETED,31,,Наличные,,,FALSE,689df579-806a-4127-a8d0-76a1d42ed71e,Бричкин Иван
ООО ПОДМЕНА,NOT_DELETED,1,230,c8455518-52f4-edf7-018f-3e598831247c,"Коктейль ""Мохито"" б/а",,,230,39451fb7-c8f5-4f72-95c9-02f61c6ac751,1,2025-09-01T12:06:33,NOT_DELETED,33,,Наличные,68.732,,FALSE,39451fb7-c8f5-4f72-95c9-02f61c6ac751,Бричкин Иван
ИП Подмена,NOT_DELETED,1,690,c8455518-52f4-edf7-018f-3e59883123c8,"Пицца ""Сырная""",,,690,9b129d59-dd40-41ed-97cb-12e246d5081b,0.5,2025-09-01T11:32:27,NOT_DELETED,35,,ИП Сбер,174.91833333333332,,FALSE,9b129d59-dd40-41ed-97cb-12e246d5081b,Скогорева Екатерина
ИП Подмена,NOT_DELETED,1,630,c8455518-52f4-edf7-018f-3e59883123cb,"Пицца ""Пепперони""",,,630,9b129d59-dd40-41ed-97cb-12e246d5081b,0.5,2025-09-01T11:32:27,NOT_DELETED,35,,ИП Сбер,121.46625,,FALSE,9b129d59-dd40-41ed-97cb-12e246d5081b,Скогорева Екатерина
ИП Подмена,NOT_DELETED,1,290,c8455518-52f4-edf7-018f-3e59883123f8,Картошка фри,,,290,9b129d59-dd40-41ed-97cb-12e246d5081b,0.5,2025-09-01T11:32:27,NOT_DELETED,35,,ИП Сбер,45.57212121212121,,FALSE,9b129d59-dd40-41ed-97cb-12e246d5081b,Скогорева Екатерина
ИП Подмена,NOT_DELETED,1,30,d5f2a057-7828-449c-a061-b43230d8683e,- кетчуп,,,30,9b129d59-dd40-41ed-97cb-12e246d5081b,0.5,2025-09-01T11:32:27,NOT_DELETED,35,,ИП Сбер,8.455714285714286,,FALSE,9b129d59-dd40-41ed-97cb-12e246d5081b,Скогорева Екатерина
ООО ПОДМЕНА,NOT_DELETED,1,,14a928d9-b13f-4a7b-93a8-dcc5f7b9efc1,- классическое молоко 150 мл,,,,9b129d59-dd40-41ed-97cb-12e246d5081b,0.5,2025-09-01T11:32:27,NOT_DELETED,36,,ООО Сбер,16.963658536585367,,FALSE,f251cd98-42c2-45dd-a955-304bfdb921fb,Скогорева Екатерина
ООО ПОДМЕНА,NOT_DELETED,1,,57fd209e-0d46-43ca-93c7-0d4e2921f16a,- 4 чашки,,,,9b129d59-dd40-41ed-97cb-12e246d5081b,0.5,2025-09-01T11:32:27,NOT_DELETED,36,,ООО Сбер,,,FALSE,f251cd98-42c2-45dd-a955-304bfdb921fb,Скогорева Екатерина
ООО ПОДМЕНА,NOT_DELETED,1,260,c8455518-52f4-edf7-018f-3e5988312456,Чай Груша-земляника,,,260,9b129d59-dd40-41ed-97cb-12e246d5081b,0.5,2025-09-01T11:32:27,NOT_DELETED,36,,ООО Сбер,40.745,,FALSE,f251cd98-42c2-45dd-a955-304bfdb921fb,Скогорева Екатерина
ООО ПОДМЕНА,NOT_DELETED,1,350,c8455518-52f4-edf7-018f-3e5988312470,Единорожка,,,350,9b129d59-dd40-41ed-97cb-12e246d5081b,0.5,2025-09-01T11:32:27,NOT_DELETED,36,,ООО Сбер,74.69733333333333,,FALSE,f251cd98-42c2-45dd-a955-304bfdb921fb,Скогорева Екатерина
ИП Подмена,NOT_DELETED,1,550,c8455518-52f4-edf7-018f-3e59883123d7,"Ролл ""Калифорния""",,,550,c170423a-a4a5-49b8-98ee-e545cdbf48e3,1,2025-09-01T12:12:41,NOT_DELETED,37,Доставка курьером,Наличные,110.065625,,FALSE,c170423a-a4a5-49b8-98ee-e545cdbf48e3,Анастасия Копоть
ИП Подмена,NOT_DELETED,1,640,c8455518-52f4-edf7-018f-3e59883123d8,"Ролл ""Черная акула""",,,640,c170423a-a4a5-49b8-98ee-e545cdbf48e3,1,2025-09-01T12:12:41,NOT_DELETED,37,Доставка курьером,Наличные,142.279,,FALSE,c170423a-a4a5-49b8-98ee-e545cdbf48e3,Анастасия Копоть
ИП Подмена,NOT_DELETED,1,590,c8455518-52f4-edf7-018f-3e59883123da,"Ролл ""Сан-Франциско""",,,590,c170423a-a4a5-49b8-98ee-e545cdbf48e3,1,2025-09-01T12:12:41,NOT_DELETED,37,Доставка курьером,Наличные,95.71,,FALSE,c170423a-a4a5-49b8-98ee-e545cdbf48e3,Анастасия Копоть
